	Author	Ratings	Title	Description
1921	Mfp617	5	Great product	We got a google home mini as a gift but couldn’t figure out why it wouldn’t work with our new smart tv. Turns out we didn’t have chrome cast, so we bought this little gem and it worked like a charm as soon as we set it up. Easy set up also. Love all the awesome features.
1922	Cindy	5	Perfect way to cast music!	I bought a smart tv and didn’t realize that it didn’t come with a way to cast. I immediately went to Best Buy and purchased this. I do not regret it. It works great! I can pretty much control what I need to from my phone. It’s great! My friend recommended it to me and I recommended it to someone else and she bought two!
1923	pedrosarraga	5	Great Gift	Love this! It was a great gift for my bother and he was able to connect to google home too
1924	Whyknot	5	Works good	I bought this to go worth the google home. So far everything is good.
1925	Rajs	5	Awesome	Best sleek design - totally worth the money - easy to use
1926	Dktom	4	Good product	The google chrome cast was easy to install and works great with my smart phone
1927	tango	4	best casting device for cheap	chromecast is the best casting device for cheaper price
1928	wagyu	5	Great device for streaming	I'm able to stream whatever I want to my TV. Beats having to have cable at this point
1929	Evaa	5	So easy to use	I love the Chromecast. It's so much better than comparable products from other brands. It's simple to use, reliable, and convenient. Highly recommend.
1930	Damian	5	Works great	Works great. Use it in my Yamaha stereo receiver with no problems.
1931	Roborange	5	Google Chromecast	Yep, I was like do I need this? Then after I easily set it up I indeed realize that it was meant to be in my life.
1932	Susan	5	Christmas present for youngest son and oldest son	I had never heard of Google Chromecast but My oldest son asked for one for Christmas. I bought one for him and my youngest son. After searching for the best deal on them, I bought them from Best Buy which was giving the best deal and because of the price match guarantee. Both boys have used it and are enjoying using it.
1933	Anonymous	5	Best for casting from phone	Casts easily with Google Home from android phone. Great for Kodi as well.
1934	adri	5	Awesome device and easy to use!	I really love my chromecast! It was very user friendly and I would completely recommend it!
1935	Alex	5	Perfect gift for everyone!	I always have a Chromecast at home to give as a gift because it is something that everyone falls in love with. And these newer models are still better.
1936	Adrizlei	5	Great present	My nephew was so happy when I gave it to him. It was the perfect gift! He says it works great!
1937	Khess	5	Awesome	So easy to cast to and integrate with Google home and many different platforms that work with it
1938	Joan	5	Great product	"The product works great for my TV.
I can see Youtube on it."
1939	Cliff64	5	Chromecast from phone	This works great and was much cheaper than an apple tv,was suggested by the BB rep in store,works great.
1940	lovedeal	5	Good product	I bought this during black friday, it is good deal. Very stable
1941	Jlavergne	4	Easily mirror devices to tv	Chromecast made mirroring my laptop to my television without having to run cables. It is very helpful when trying to use apps or view streaming sites that may not be available on my smart tv.
1942	Squeaky	4	Works great!	Works great for my needs. I use to stream movies to my TV via phone.
1943	5Deer	5	So good!	Very good ! Very easy to connect and very useful! Awesome!
1944	Manlio	4	Great system to connect TV to a PC	It is a really good system to see your PC screen on your TV
1945	bbboy	5	WORTH THE MONEY	Great product for everyone strongly recommend it..
1946	SA210	5	An excellent option for non-smart TV	This allows you to stream content from your phone or eligible device to your TV.
1947	BBGuy	5	Great for Streaming	The device is easy to connect to and set up. Was streaming in 15 minutes.
1948	SUNNY	5	a must with google home	Bought this as a gift. He loved it and states he was glad he got it along with the google home
1949	Leonardo	4	Good addition to the home	I purchased this version of the chrome cast as my original one stopped working. I like ht new design of this product. It is flexible for other parts of the ports of the TV.
1950	GYBturbo	4	Okay streaming device	The device is okay... doesn't work great and seems to be a bit outdated... every new tv seems to handle what this device is offering. It is for the user that doesn't want to upgrade to a smart tv in my opinion. Also lags occasionally.
1951	rams	2	Good but few issues	Its not working perfect for video streaming.some time bad
1952	Khal	5	amazing Streaming capabilities	Very easy to use, works like magic with Google home. Must have product if you have an older dumb TV
1953	Jess	5	Perfect	I love it, is perfect for my tv, and very easy to install
1954	90skid	4	great for meeting	Although there is a slight lag when casting desktop, it is great for meetings.
1955	Mrs8	5	works well with Google mini and home	for me the only thing that could make this product better if it would work with Alexa products.
1956	Bluebird	4	Did not use the product	Was really looking forward to using the product unfortunately Not all apps support chromecast so returned the product.
1957	RipzFax	5	Rocks	Google Chromecast is just an absolutely great gadget for streaming everything. Love the fact that I can cast my actual home screen on any tv through Google Home when using and Android device. This has helped me cut down my cable bill by allowing me to eliminate every cable box at home but one. Not fully ready to go all in on the CTC front but being able to cast any Channel who's app may not be Chromecast compatible yet but playable on my cable company's app is sweet.
1958	Mancub	4	Revolutionary Product!	I have a few of these setup around my house and they are a must have for the phone / tablet generation!
1959	IrishMc	5	Gotta have it!	This well priced item is a must for all TV's in your home.
1960	Lucas	4	Works well, awkward setup	Works really well, only took off one star because the setup required you to download an awful app and takes a while to get going. Also it controls from a smart phone so if your phone frustrates you so will this product.
1961	MikeyC	4	Good Streaming Device	Works well to stream content on my phone to my Tv. Can watch Netflix, You Tube, ect.
1962	SYSRAV	2	It keeps disconnecting	I loved it initially however within few days it takes hours to connect it every time , it just does not pair up on same network that easy .
1963	AdamAg	5	Awesome device	Love this, very useful, like a little sidekick. controls my Netflix w/ my google mini.
1964	Joey	5	Great addition to the entertainment system	I love the Chromecast. It makes it really easy to get content from the internet/mobile device to my tv. Very user friendly.
1965	HDGuy	4	GoogleCC	it works well if you only looking to cast but the FireStick is much better.
1966	Joey	1	Easy Hook up	Not quite happy with produce you are going to need a good internet and never got the code for sling when it was purchased.
1967	D4nthev0ng	4	Great for easy streaming	Streaming device works great and took 15 minutes to set up. Downloaded multiple apps on Android device to fully utilize the Chromecast. It's very light and seems durable. Overall it's a great Buy.
